delta_mu_O_eV,gamma_T1_Jm2,gamma_T2_Jm2,gamma_T3_Jm2
-8.058000751515199678e-01,3.558512592327899959e+00,9.747626700970000169e-01,1.997171017852799935e+00
-7.806188228030299658e-01,3.540296060828400204e+00,9.747626700970000169e-01,2.015387549352300134e+00
-7.554375704545499559e-01,3.522079529328900005e+00,9.747626700970000169e-01,2.033604080851799889e+00
-7.302563181060599540e-01,3.503862997829399806e+00,9.747626700970000169e-01,2.051820612351400008e+00
-7.050750657575800551e-01,3.485646466329800131e+00,9.747626700970000169e-01,2.070037143850900208e+00
-6.798938134090900531e-01,3.467429934830299931e+00,9.747626700970000169e-01,2.088253675350399963e+00
-6.547125610606100432e-01,3.449213403330800176e+00,9.747626700970000169e-01,2.106470206849900162e+00
-6.295313087121200413e-01,3.430996871831299977e+00,9.747626700970000169e-01,2.124686738349499837e+00
-6.043500563636400313e-01,3.412780340331699858e+00,9.747626700970000169e-01,2.142903269849000036e+00
-5.791688040151500294e-01,3.394563808832200102e+00,9.747626700970000169e-01,2.161119801348499792e+00
-5.539875516666700195e-01,3.376347277332699903e+00,9.747626700970000169e-01,2.179336332847999991e+00
-5.288062993181800175e-01,3.358130745833200148e+00,9.747626700970000169e-01,2.197552864347600110e+00
-5.036250469697000076e-01,3.339914214333600029e+00,9.747626700970000169e-01,2.215769395847099865e+00
-4.784437946212100057e-01,3.321697682834099830e+00,9.747626700970000169e-01,2.233985927346600064e+00
-4.532625422727299958e-01,3.303481151334600074e+00,9.747626700970000169e-01,2.252202458846099820e+00
-4.280812899242399938e-01,3.285264619835099875e+00,9.747626700970000169e-01,2.270418990345699939e+00
-4.029000375757599839e-01,3.267048088335500200e+00,9.747626700970000169e-01,2.288635521845200138e+00
-3.777187852272699820e-01,3.248831556836000001e+00,9.747626700970000169e-01,2.306852053344699893e+00
-3.525375328787900275e-01,3.230615025336499802e+00,9.747626700970000169e-01,2.325068584844200092e+00
-3.273562805303000256e-01,3.212398493837000046e+00,9.747626700970000169e-01,2.343285116343800212e+00
-3.021750281818200157e-01,3.194181962337399927e+00,9.747626700970000169e-01,2.361501647843299967e+00
-2.769937758333300137e-01,3.175965430837900172e+00,9.747626700970000169e-01,2.379718179342800166e+00
-2.518125234848500038e-01,3.157748899338399973e+00,9.747626700970000169e-01,2.397934710842299921e+00
-2.266312711363600019e-01,3.139532367838900218e+00,9.747626700970000169e-01,2.416151242341900041e+00
-2.014500187878799919e-01,3.121315836339300098e+00,9.747626700970000169e-01,2.434367773841399796e+00
-1.762687664393899900e-01,3.103099304839799899e+00,9.747626700970000169e-01,2.452584305340899995e+00
-1.510875140909100078e-01,3.084882773340300144e+00,9.747626700970000169e-01,2.470800836840400194e+00
-1.259062617424200059e-01,3.066666241840799945e+00,9.747626700970000169e-01,2.489017368339999869e+00
-1.007250093939399960e-01,3.048449710341199825e+00,9.747626700970000169e-01,2.507233899839500069e+00
-7.554375704545400472e-02,3.030233178841700070e+00,9.747626700970000169e-01,2.525450431338999824e+00
-5.036250469696999799e-02,3.012016647342199871e+00,9.747626700970000169e-01,2.543666962838500023e+00
-2.518125234848499899e-02,2.993800115842700116e+00,9.747626700970000169e-01,2.561883494338100142e+00
0.000000000000000000e+00,2.975583584343099997e+00,9.747626700970000169e-01,2.580100025837599897e+00
